English_Name,Genus,Species,treatment,Author,Pub_Year,Journal,Class,Order,Collection_Location,Study_Type,Distribution,Calcification,Life_stage,Life_stage_category,Class,Order,Extracted_from,Comments,Response_variable,response_type,Effect of treatment,Study_Duration,Study_Duration_Units,citation details,response,SE_response,LCI_response,UCI_response,unit_response,sample_size,pH,uatm,DIC _umol_kg-1,ppm CO2,salinity,temperature,oxygen,oxygen_units,treatment_var,treatment_name_or_other_details,comments,extraction method,study_design
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Fig.5,9.5,0.5,,,umol g-1 h-1,8,,,,,31.6,30,,,temperature,,low feeding condition_ summer collected,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,134,6,,,bpm,10,,,,,31.6,12,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,157,7,,,bpm,10,,,,,31.6,15,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,174,11,,,bpm,10,,,,,31.6,18,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,191,8,,,bpm,10,,,,,31.6,21,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,227,18,,,bpm,10,,,,,31.6,24,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,295,12,,,bpm,10,,,,,31.6,27,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,322,13,,,bpm,10,,,,,31.6,29,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,326,17,,,bpm,10,,,,,31.6,30,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,271,37,,,bpm,10,,,,,31.6,31,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,120,32,,,bpm,10,,,,,31.6,32,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,17,7,,,bpm,10,,,,,31.6,33,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,0,0,,,bpm,10,,,,,31.6,34,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,McLean and Todghaam,2015,Conservation Physiology,Malacostraca,Decapoda,San Rafael Bay_ California,Single species lab study (one species in paper),,Makes CaCO3,Juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,heart rate,metabolic rate,unimodal,1,Days,Fig.8,0,0,,,bpm,10,,,,,31.6,35,,,temperature,,low feeding condition_ summer collected,webplotdigitizer,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,megalopa,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.99,0.106,,,ml g-1 h-1,10,,,,,32,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,megalopa,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,1.06,0.051,,,ml g-1 h-1,10,,,,,24,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,megalopa,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,1.057,0.06,,,ml g-1 h-1,10,,,,,16,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,1st juvenile,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.386,0.067,,,ml g-1 h-1,12,,,,,32,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,1st juvenile,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.497,0.025,,,ml g-1 h-1,10,,,,,24,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,1st juvenile,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.538,0.038,,,ml g-1 h-1,10,,,,,16,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,5th juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.102,0.026,,,ml g-1 h-1,8,,,,,32,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,5th juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.082,0.013,,,ml g-1 h-1,8,,,,,24,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,5th juvenile,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.093,0.015,,,ml g-1 h-1,6,,,,,16,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.028,0.004,,,ml g-1 h-1,4,,,,,32,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.023,0.005,,,ml g-1 h-1,4,,,,,24,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,Adult,adult or juvenile,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.026,0.003,,,ml g-1 h-1,3,,,,,16,10,,,salinity,,,,multi-level anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,megalopa,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,0.99,0.106,,,ml g-1 h-1,10,,,,,32,10,,,temperature,,,,anova
Crab_ Dungeness,Cancer,magister,temperature,Brown and  Terwilliger,1999,Journal of Experimental Marine Biology and Ecology,Malacostraca,Decapoda,,Single species lab study (one species in paper),,Makes CaCO3,megalopa,propagule,Malacostraca,Decapoda,google scholar,,oxygen consumption,metabolic rate,positive,1,Days,Table 1,1.676,0.171,,,ml g-1 h-1,9,,,,,32,20,,,temperature,,,,anova
